Question,Answer,Analyst,Respondent,quarter,ratio,GPT-4o_question_sentiment,GPT-4o_question_confidence,GPT-4o_answer_sentiment,GPT-4o_answer_confidence
Management Commentary,"2 billion, and delivered a return on tangible common equity of 24%.",Management Commentary,Jeremy Barnum,2020Q4,24%,neutral,1.0,negative,0.8
Management Commentary,"88 on record revenue of nearly $123 billion, and delivered a return on tangible common equity of 14%.",Management Commentary,Jeremy Barnum,2020Q4,24%,neutral,1.0,negative,0.6
"Hi. Apologies for prolonging the call. I just got this question a lot on Bloomberg from investors. Just wanted to re-ask the first question another way. It seems like we have been waiting for recalibration on the G-SIB for some time now. On the other hand, clearly, the expansion of your balance sheet comes with additional revenue generation and market share taking in some opportunities. And so investors are wondering if we don't get any sort of calibration that's meaningful and that CET1 floor does have to move up from 12%; what is the sensitivity of the normalized ROTCE outlook, if any at all, if that 12% does have to move up in 50-basis point increments?","Okay. So if the 12% has to move up, Erika, that would obviously have an impact, but there is so much between here and there and that being a reality that we can't really comment on it because not only – I know we've been waiting for G-SIB recalibration for a long time, but it has been made very clear that G-SIB recalibration will be part of the Basel III endgame, which we have also been waiting for, for a very long time. And so there will be potential offsets that we're unable to manage because we don't know what they are yet. So, we continue to wait for Basel III endgame. And then, as I said, we do believe we can manage the stress capital buffer. Again, it's scenario-dependent, but we do believe we can manage that to be closer to 2.5%, which helps an awful lot in terms of an offset to G-SIB constraints. So, we're thinking about that 12% number until we know something different. And I'll just add, we're going to fight like hell to keep the 12%, and we're pretty sure we can do it. So, I'm not that worried about it. But I don't know what the confusion is. If it did go up by – if we're earning 20% tangible equity and our capital goes up by 5% and we get no return on the 5%, our ROE goes to 19%. So, I don't understand the confusion. The underlying results are still fabulous and great, and yes, slightly lower returns. But I think it will be temporary. We will, over time, find strategies and tactics to get returns that are fair to our shareholders. But most importantly about those returns, we have great businesses, great branches, great products, great services, good margins, good service, good ops, good controls, and that's what we really build all the time. And this other stuff is just managing around capital constraints. It's a shame that this is – this is not the way to run a railroad anymore. We're spending time on this call on CECL and SLR, and it's a shame. And it does distract from growing the American economy. I've mentioned over and over. We have $2.2 trillion of deposits, $1 trillion of loans, $1.5 trillion of cash and marketable securities, much of which cannot be deployed to intermediate or lend. How conservative do you want to get?",Erika Najarian,"Jamie Dimon, Jennifer Piepszak",2021Q1,29%,positive,0.68125,positive,0.783542
"Hi. Good morning. My first question is for Jamie. Jamie, you noted during a December conference that you believe that normalized ROTCE for JPMorgan would be about 17%. And investors are wondering, as we think about JPMorgan perhaps cementing a higher G-SIB surcharge at 4% this year, is 17% still achievable under that context or constraint?","Hi, Erika. Go ahead, Jenn. So, Erika, I'll start. So, just a couple of things to think about on capital. So, while we ended the year in the 4% bucket for G-SIB, and it's probably worth mentioning given the continued expansion of the system through the Fed balance sheet even staying in 4% could become challenging for us, but just a couple of things to keep in mind there is, we believe that we do have offsets in the Stress Capital Buffer, and we do believe that it's very possible that we'll see those come through in this round. Of course, it's dependent upon the Fed models, not our models, but we've talked about things that – actions that we've taken, sort of mechanical in nature in addition to moving investment securities into held-to-maturity that should give us some benefit on the SCB. Of course, that's scenario-dependent, but we do expect some benefit there that could offset. It's also important to remember that we still are waiting for the Basel III endgame, and the indication from the Fed is that they will address G- SIB recalibration as part of that. And so, it's quite possible that we see G-SIB recalibration, but perhaps another constraint that we'll be managing. So, there is a lot that we'll learn over probably the next year or two. And of course, the higher G-SIB doesn't come into effect until the first quarter of 2023. So, we do think we have offsets. We're still thinking about 12% as being a target CET1 for us - of course, given what we know today. But we are still waiting for that Basel III endgame to really understand what we're dealing with. And at that 12% in a more normalized environment, which wouldn't just be about rates, it would also be about loan demand, 17% still feels achievable for us.",Erika Najarian,"Jamie Dimon, Jennifer Piepszak",2021Q1,29%,positive,0.9,positive,0.7
Management Commentary,"1 billion, and delivered a return on tangible common equity of 29%.",Management Commentary,Jeremy Barnum,2021Q1,29%,neutral,1.0,negative,0.8
Management Commentary,"4 billion, and delivered a return on tangible common equity of 23%.",Management Commentary,Jeremy Barnum,2021Q2,23%,neutral,1.0,negative,0.8
Management Commentary,4 billion and delivered a return on tangible common equity of 22%.,Management Commentary,Jeremy Barnum,2021Q3,22%,neutral,1.0,negative,0.8
Management Commentary,"Adjusting for these items, we delivered an 18% ROTCE this quarter.",Management Commentary,Jeremy Barnum,2021Q3,22%,neutral,1.0,neutral,1.0
"Very clear. Thank you. My second compound question is on capital. If you could give us an update, I know that January 1 is the adoption date for SA-CCR. If you could give us an estimate on the impact to CET1 and just to clarify that 17% medium-term ROTCE does take into account that your G-SIB surcharge is 4.5%?","Yeah. So let me do the second one first. So in short, yes. So as I said in the script, we are not assuming any recalibration in that 17% target. So that does mean 4.5% G-SIB in the equity component of that number. In terms of SA-CCR, the impact of SA-CCR adoption was about $40 billion of standardized RWA, so I think if you do the math that's like 10 [sic] (30) basis points of CET1.",Erika Najarian,Jeremy Barnum,2021Q4,19%,positive,0.565,negative,0.515625
"Hey, good morning. So want to start off with a question on capital. Quarles highlighted in his swan song speech the potential for Basel IV implementation increasing capital requirements as much as 20% for select banks. While we haven't seen a formal proposal from the Fed, I was just hoping you could provide just some preliminary thoughts how you're handicapping the risk of higher RWA inflation ahead of Basel IV adoption, and to what extent is that contemplated in the updated ROTE guidance?","Yeah, so, Steve Don't give too much This is fine. It's a perfectly reasonable question. So, okay. So, here we go. So when you look at the current state of the so-called Basel III end game or Basel IV proposals, and you look at the RWA components of them in isolation, you've got the change in the credit conversion factors, which always equals a tailwind; you've got the fundamental review of the trading book, which is quite complicated and is going to depend institution by institution, but is potentially for some folks a headwind; and then you've got the introduction of operational risk capital into standardized RWA. 14Jeremy Barnum A Chief Financial Officer, JPMorgan Chase & Co. And if you look at sort of central case estimates of all those things in a simple way, you will conclude that there's a bunch of RWA inflation. But - couple things. First, this all takes place in the context of the global regulatory community, or at least in the US, saying that the system has enough capital. It doesn't actually need more capital. And it's important to realize Yeah. And so it's just important to realize, Steve, that as you know, obviously, there are additional tools. So the most important one of which is how the standardized output floors interact with the introduction of operational risk capital and to standardize RWA, and then in turn how that interacts potentially with the Collins floor, as well as more generally the fact that there are opportunities to tweak potential double counting and the stress capital buffer against FRTB and so on and so forth. So the point of all this is that there are more levers and tools here than just the overall RWA inflation, and the way we see the world, we don't expect the Basel III end game in and of itself to increase the dollars of capital that we need to carry as a company. And you were conservative in saying it's the 4.5% G-SIB. Exactly. And we are allowing the G-SIFI increases to flow through to the medium term ROTCE assumptions.",Steven Chubak,"Jamie Dimon, Jeremy Barnum",2021Q4,19%,positive,0.7875,positive,0.611828
