ISBN,End Date,Title,Author,Interval,Volume,Value,ASP,RRP,Binding,Imprint,Publisher Group,Product Class,Product Category,Publication Date,Country of Publication
9780722532935,2012-01-07,"Alchemist,The","Coelho, Paulo",201202,518.0,3601.76,6.9532,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F - Adult Fiction,1995-11-13,United Kingdom
9780140500875,2012-01-07,"Very Hungry Caterpillar,The","Carle, Eric",201202,0.0,2522.13,0.0,4.99,Paperback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1974-03-28,United Kingdom
9780241003008,2012-01-07,"Very Hungry Caterpillar,The","Carle, Eric",201202,512.0,2522.13,4.926,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1994-09-29,United Kingdom
9780722532935,2012-01-14,"Alchemist,The","Coelho, Paulo",201203,533.0,3610.12,6.7732,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F - Adult Fiction,1995-11-13,United Kingdom
9780140500875,2012-01-14,"Very Hungry Caterpillar,The","Carle, Eric",201203,0.0,2473.31,0.0,4.99,Paperback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1974-03-28,United Kingdom
9780241003008,2012-01-14,"Very Hungry Caterpillar,The","Carle, Eric",201203,519.0,2473.31,4.7655,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1994-09-29,United Kingdom
9780722532935,2012-01-21,"Alchemist,The","Coelho, Paulo",201204,475.0,3105.62,6.5381,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F - Adult Fiction,1995-11-13,United Kingdom
9780140500875,2012-01-21,"Very Hungry Caterpillar,The","Carle, Eric",201204,0.0,2757.83,0.0,4.99,Paperback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1974-03-28,United Kingdom
9780241003008,2012-01-21,"Very Hungry Caterpillar,The","Carle, Eric",201204,574.0,2757.83,4.8046,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1994-09-29,United Kingdom
9780140500875,2012-01-28,"Very Hungry Caterpillar,The","Carle, Eric",201205,0.0,3072.66,0.0,4.99,Paperback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1974-03-28,United Kingdom
9780241003008,2012-01-28,"Very Hungry Caterpillar,The","Carle, Eric",201205,621.0,3072.66,4.9479,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1994-09-29,United Kingdom
9780722532935,2012-01-28,"Alchemist,The","Coelho, Paulo",201205,514.0,3431.29,6.6757,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F - Adult Fiction,1995-11-13,United Kingdom
9780241003008,2012-02-04,"Very Hungry Caterpillar,The","Carle, Eric",201206,1140.0,4724.18,4.144,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1994-09-29,United Kingdom
9780722532935,2012-02-04,"Alchemist,The","Coelho, Paulo",201206,591.0,3929.22,6.6484,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F - Adult Fiction,1995-11-13,United Kingdom
9780140500875,2012-02-04,"Very Hungry Caterpillar,The","Carle, Eric",201206,0.0,4724.18,0.0,4.99,Paperback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1974-03-28,United Kingdom
9780140500875,2012-02-11,"Very Hungry Caterpillar,The","Carle, Eric",201207,0.0,4402.26,0.0,4.99,Paperback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1974-03-28,United Kingdom
9780241003008,2012-02-11,"Very Hungry Caterpillar,The","Carle, Eric",201207,1037.0,4402.26,4.2452,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1994-09-29,United Kingdom
9780722532935,2012-02-11,"Alchemist,The","Coelho, Paulo",201207,441.0,2874.98,6.5192,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F - Adult Fiction,1995-11-13,United Kingdom
9780241003008,2012-02-18,"Very Hungry Caterpillar,The","Carle, Eric",201208,1060.0,4518.39,4.2626,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1994-09-29,United Kingdom
9780140500875,2012-02-18,"Very Hungry Caterpillar,The","Carle, Eric",201208,0.0,4518.39,0.0,4.99,Paperback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1974-03-28,United Kingdom
9780722532935,2012-02-18,"Alchemist,The","Coelho, Paulo",201208,450.0,3073.17,6.8293,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F - Adult Fiction,1995-11-13,United Kingdom
9780140500875,2012-02-25,"Very Hungry Caterpillar,The","Carle, Eric",201209,0.0,4260.39,0.0,4.99,Paperback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1974-03-28,United Kingdom
9780722532935,2012-02-25,"Alchemist,The","Coelho, Paulo",201209,384.0,2544.06,6.6252,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F - Adult Fiction,1995-11-13,United Kingdom
9780241003008,2012-02-25,"Very Hungry Caterpillar,The","Carle, Eric",201209,931.0,4260.39,4.5761,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1994-09-29,United Kingdom
9780140500875,2012-03-03,"Very Hungry Caterpillar,The","Carle, Eric",201210,0.0,4442.05,0.0,4.99,Paperback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1974-03-28,United Kingdom
9780722532935,2012-03-03,"Alchemist,The","Coelho, Paulo",201210,653.0,4283.9,6.5603,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F - Adult Fiction,1995-11-13,United Kingdom
9780241003008,2012-03-03,"Very Hungry Caterpillar,The","Carle, Eric",201210,900.0,4442.05,4.9356,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1994-09-29,United Kingdom
9780241003008,2012-03-10,"Very Hungry Caterpillar,The","Carle, Eric",201211,702.0,3505.46,4.9935,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1994-09-29,United Kingdom
9780140500875,2012-03-10,"Very Hungry Caterpillar,The","Carle, Eric",201211,0.0,3505.46,0.0,4.99,Paperback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1974-03-28,United Kingdom
9780722532935,2012-03-10,"Alchemist,The","Coelho, Paulo",201211,766.0,5124.93,6.6905,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F - Adult Fiction,1995-11-13,United Kingdom
9780241003008,2012-03-17,"Very Hungry Caterpillar,The","Carle, Eric",201212,669.0,3442.27,5.1454,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1994-09-29,United Kingdom
9780140500875,2012-03-17,"Very Hungry Caterpillar,The","Carle, Eric",201212,0.0,3442.27,0.0,4.99,Paperback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1974-03-28,United Kingdom
9780722532935,2012-03-17,"Alchemist,The","Coelho, Paulo",201212,751.0,5129.35,6.83,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F - Adult Fiction,1995-11-13,United Kingdom
9780140500875,2012-03-24,"Very Hungry Caterpillar,The","Carle, Eric",201213,0.0,3124.91,0.0,4.99,Paperback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1974-03-28,United Kingdom
9780241003008,2012-03-24,"Very Hungry Caterpillar,The","Carle, Eric",201213,603.0,3124.91,5.1823,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1994-09-29,United Kingdom
9780722532935,2012-03-24,"Alchemist,The","Coelho, Paulo",201213,643.0,4334.81,6.7415,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F - Adult Fiction,1995-11-13,United Kingdom
9780241003008,2012-03-31,"Very Hungry Caterpillar,The","Carle, Eric",201214,592.0,3099.77,5.2361,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1994-09-29,United Kingdom
9780140500875,2012-03-31,"Very Hungry Caterpillar,The","Carle, Eric",201214,0.0,3099.77,0.0,4.99,Paperback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1974-03-28,United Kingdom
9780722532935,2012-03-31,"Alchemist,The","Coelho, Paulo",201214,791.0,5240.74,6.6255,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F - Adult Fiction,1995-11-13,United Kingdom
9780241003008,2012-04-07,"Very Hungry Caterpillar,The","Carle, Eric",201215,684.0,3750.16,5.4827,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1994-09-29,United Kingdom
9780140500875,2012-04-07,"Very Hungry Caterpillar,The","Carle, Eric",201215,0.0,3750.16,0.0,4.99,Paperback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1974-03-28,United Kingdom
9780722532935,2012-04-07,"Alchemist,The","Coelho, Paulo",201215,884.0,6028.28,6.8193,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F - Adult Fiction,1995-11-13,United Kingdom
9780722532935,2012-04-14,"Alchemist,The","Coelho, Paulo",201216,725.0,4863.68,6.7085,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F - Adult Fiction,1995-11-13,United Kingdom
9780241003008,2012-04-14,"Very Hungry Caterpillar,The","Carle, Eric",201216,560.0,2961.79,5.2889,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1994-09-29,United Kingdom
9780140500875,2012-04-14,"Very Hungry Caterpillar,The","Carle, Eric",201216,0.0,2961.79,0.0,4.99,Paperback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1974-03-28,United Kingdom
9780722532935,2012-04-21,"Alchemist,The","Coelho, Paulo",201217,824.0,5499.81,6.6745,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F - Adult Fiction,1995-11-13,United Kingdom
9780140500875,2012-04-21,"Very Hungry Caterpillar,The","Carle, Eric",201217,0.0,3148.53,0.0,4.99,Paperback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1974-03-28,United Kingdom
9780241003008,2012-04-21,"Very Hungry Caterpillar,The","Carle, Eric",201217,578.0,3148.53,5.4473,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1994-09-29,United Kingdom
9780140500875,2012-04-28,"Very Hungry Caterpillar,The","Carle, Eric",201218,0.0,3371.05,0.0,4.99,Paperback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1974-03-28,United Kingdom
9780722532935,2012-04-28,"Alchemist,The","Coelho, Paulo",201218,747.0,5027.98,6.7309,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F - Adult Fiction,1995-11-13,United Kingdom
9780241003008,2012-04-28,"Very Hungry Caterpillar,The","Carle, Eric",201218,609.0,3371.05,5.5354,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1994-09-29,United Kingdom
9780722532935,2012-05-05,"Alchemist,The","Coelho, Paulo",201219,763.0,5142.0,6.7392,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F - Adult Fiction,1995-11-13,United Kingdom
